id,Data,Descrição,Valor
cjih3hiq3po2zlmtlsb94te1,31/03/2023,Saldo inicial,"2.024.688,83"
gb89hgy6fd9yipo79a7xlij1,05/04/2023,,"-3.000,00"
qsjo8vl5o02njk541iheu9ln,10/04/2023,,"-4.985,59"
u6jxdigw3zzbhd3uvidr91f9,10/04/2023,,"-4.985,59"
vloncj9i7ln79f6qq1hu4ubx,11/04/2023,,"-4.985,20"
ni548umbdytw6u7hxmobhlbm,13/04/2023,,"20.000,00"
jx5i2mrevnb6y7ruc6sekj11,28/04/2023,,"-1.332,52"
vduoxmn139ycyqpnjripi3il,28/04/2023,,"-9.973,81"
drfpleymmhb0k2ai9v0o14zd,30/04/2023,,"10.962,97"
nuq5wib1wgqp6gjcl8yxjfut,08/05/2023,,"-165.595,25"
l4wr7cw2fx0a7sttb4oi4gfz,08/05/2023,,"-33.020,99"
bascmkt7ca1rcy6oaq75s198,08/05/2023,,"-242.123,85"
gxexb4zm7qfihp30ls0h7ca2,09/05/2023,,"-455.891,96"
tyiz0xgqxtswqcdpd5io4ef8,09/05/2023,,"-12.706,29"
twqs4h8j83cptesxtvyf0e31,10/05/2023,,"-726.174,98"
b47uqhexoh233nc099m1nnve,12/05/2023,,"-116.025,24"
qq7butljcammwwp908qyu6nz,30/05/2023,"Resgate Antecipado, IR","-28.242,53"
m3tlhre7q6sx6udu1khg7jnc,30/11/2023,"Retorno do dinheiro à conta, calculo estava errado ","-6.072,93"
opu9zpdxhomax3qejm2e7pm4,05/12/2023,,"-24.957,45"
bazyi8bzwrdds7txolvavzyv,14/12/2023,,"-29.925,12"
llg0hqk352r61h66ua2y5gys,31/12/2023,,"1.726,42"
vvwwjkkji6t2z1coh3xb5kec,03/01/2024,,"-15.000,00"
fotnfrwfu5f6ae1hvgh4m255,08/01/2024,,"-21.000,00"
s57uyoqor2w5w899igtagwui,16/01/2024,,"-40.000,00"
wv7cup52yf3zu0sd2revecg3,31/01/2024,,"1.332,85"
s1xki4p5qzn6vty858d64yje,01/02/2024,,"-34.887,27"
hzus4jhptl0xf0wiqjukdb81,07/02/2024,,"-12.937,79"
b9kzlewumbnoimbzlprvuetv,15/02/2024,,"-24.870,71"
ikezbg6s6hkeya6smkh8oiuj,29/02/2024,juros,"153,13"
h5tkk7iiyk47unu3ptgl0vc8,07/03/2024,TED - 378561 13292738000111 RATC GERENCIAMENTO E ADMINISTRACAO DE BENS LTDA,"-15.895,06"
v7ajpuju24p1h0i9xq6fzk3z,31/03/2024,juros,"132,36"
evwqcp923km2p7zca6zq3krd,16/04/2024,DEBITO TED/IB - I00257 13292738000111 RATC GERENCIAMENTO E ADMINISTRACAO DE B,"40.000,00"
nognaflaywuyop5on8p6faof,30/04/2024,Juros XP ,"980,76"
cff6qoqxc9ymdq2ffy7im8qa,14/05/2024,DEBITO TED/IB - I00215 13292738000111 RATC GERENCIAMENTO E ADMINISTRACAO DE B,"35.000,00"
vmcr74m4rhf243da92jnvthe,30/05/2024,Juros XP,"427,82"
snmaqltvttt0u60i3v62n13y,30/06/2024,Juros XP,"810,24"
lz37r5w0ixcqffugmq138zys,05/07/2024,TED - 523244 13292738000111 RATC GERENCIAMENTO E ADMINISTRACAO DE BENS LTDA,"-39.837,33"
ifat0m5d3l8tsu0effxq79zl,30/07/2024,Juros XP,"-90,07"
qkv0dihintj7g5m814wog6tx,31/08/2024,Juros XP ,"525,55"
u9g6v2famnaixpl20b5b9ilr,17/09/2024,DEBITO TED/IB - I00380 13292738000111 RATC GERENCIAMENTO E ADMINISTRACAO DE BE,"84.610,03"
ohjr1f3emi047nzefoowk44c,30/09/2024,Juros XP ,"813,83"
v2tbbxuvp7mjw3uy4rbpvwto,15/10/2024,DEBITO TED/IB - I00003 13292738000111 RATC GERENCIAMENTO E ADMINISTRACAO DE B,"50.000,00"
w8zude00qbvn4n7avfq07qca,31/10/2024,Juros XP,"1.646,54"
lxcdsb3467bepthtei637mdu,19/11/2024,DEBITO TED/IB - I00119 13292738000111 RATC GERENCIAMENTO E ADMINISTRACAO DE B,"61.000,00"
rx01bnqo48u9o2cmcm3cqcgk,30/11/2024,Juros XP,"930,96"
eidr76t2uwev4oyu30uphh3d,5/12/2024,TED - 372349 13292738000111 RATC GERENCIAMENTO E ADMINISTRACAO DE BENS LTDA,"-49.856,00"
r66mlf93b9xn6hax4gc8exyo,13/12/2024,DEBITO TED/IB - I00125 13292738000111 RATC GERENCIAMENTO E ADMINISTRACAO DE B,"40.000,00"
fj6w6glvlzgaoucwgfno6y9e,31/12/2024,Juros XP,"1.905,89"
bjprn471sbxvin1ew0ds4iiq,07/01/2025,TED - 442753 13292738000111 RATC GERENCIAMENTO E ADMINISTRACAO DE BENS LTDA,"-4.988,77"
udpqw9nupm9ne6yxmku2or48,31/01/2025,Juros Bancários,"2.619,85"
yzb65sj6aip6bl7mfyi1qyxb,05/02/2025,TED-354144 13292738000111 RATC GERENCIAMENTO E ADMINISTRACAO DE BENS LTDA - 16743244233,"-7.971,06"
gsfp069uulhqw4iqoslwof2f,14/02/2025,DEBITO TED/IB-I00007 13292738000111 RATC GERENCIAMENTO E ADMINISTRACAO DE B - 16857781763,"50.000,00"
a9krydhifzyo8xsvhmo69pwz,21/02/2025,TED-332250 13292738000111 RATC GERENCIAMENTO E ADMINISTRACAO DE BENS LTDA - 16933704882,"-30.000,00"
gutyznkref30t2c807ihs2za,26/02/2025,DEBITO TED/IB-I00151 13292738000111 RATC GERENCIAMENTO E ADMINISTRACAO DE B - 16984984575,"25.000,00"
kpwwe4lnkogpvnc0d6zertcm,28/02/2025,Juros Bancários,"2.477,58"
x9gjm729e6g88tp9gdudj8cz,06/03/2025,TED-371398 13292738000111 RATC GERENCIAMENTO E ADMINISTRACAO DE BENS LTDA - 17072858079,"-9.943,53"
yrvgpquhtb53mo8fvsudnv5v,06/03/2025,TED-457110 13292738000111 RATC GERENCIAMENTO E ADMINISTRACAO DE BENS LTDA - 17076791636,"-19.819,71"
bdkuwazd9ccj81y8aukcr58u,12/03/2025,DEBITO TED/IB-I00157 13292738000111 RATC GERENCIAMENTO E ADMINISTRACAO DE B - 17158801487,"40.000,00"
gs0ixw7o74rfo7how3lr61vu,31/03/2025,Juros Bancários,"2.617,23"
b3n28hmm5z4redde3jtf3zhw,15/4/2025,DEBITO TED/IB-I00076 13292738000111 RATC GERENCIAMENTO E ADMINISTRACAO DE B - 17552811819,"45.000,00"
ebn50p1f0d9hghrl5zvknr45,22/4/2025,DEBITO TED/IB-I00063 13292738000111 RATC GERENCIAMENTO E ADMINISTRACAO DE B - 17614328614,"20.000,00"
zdpq6pbdmpgqxuvc3l2aqn7v,30/4/2025,Juros Bancários,"3.454,59"
f8l1r9658ktn5tll65rtte9c,02/05/2025,TED-507720 13292738000111 RATC GERENCIAMENTO E ADMINISTRACAO DE BENS LTDA - 17724770989,"-3.960,22"
hzpdrp5tqsu42km6hcpid7ib,06/05/2025,TED-356956 13292738000111 RATC GERENCIAMENTO E ADMINISTRACAO DE BENS LTDA - 17778808117,"-4.958,34"
p9wbs3as2lfo1u7ouc7b3n01,06/05/2025,TED-402829 13292738000111 RATC GERENCIAMENTO E ADMINISTRACAO DE BENS LTDA - 17781932615,"-19.921,17"
pn4p8z3x04jt456dhrcqutpb,15/05/2025,DEBITO TED/IB-I00238 13292738000111 RATC GERENCIAMENTO E ADMINISTRACAO DE B - 17900852169,"30.000,00"
in8ztxkpcor5ilbxpt5fk4w1,30/05/2025,TED-448773 13292738000111 RATC GERENCIAMENTO E ADMINISTRACAO DE BENS LTDA - 18055719426,"-30.000,00"
